format,input_dtype,output_dtype,mode,round,distribution,max_abs,mae,mse,payload_ratio,file_ratio
0,0,0,0,0,uniform,0.0312486886978,0.0104884350267,0.000188317408751,3.86567164179,3.86009161014
0,0,0,0,0,normal,0.209384918213,0.0179448645904,0.000703664099291,3.86567164179,3.86009161014
0,0,0,0,0,outliers,14.1752929688,0.0348602358058,0.0626524289921,3.86567164179,3.86009161014
0,0,0,0,1,uniform,0.0624195337296,0.0140471065426,0.000379275295509,3.86567164179,3.86009161014
0,0,0,0,1,normal,0.290615081787,0.0240158301075,0.00142303722402,3.86567164179,3.86009161014
0,0,0,0,1,outliers,15.1831512451,0.046677273901,0.128710383528,3.86567164179,3.86009161014
0,0,0,1,0,uniform,0.0312486886978,0.0104884350267,0.000188317408751,3.99993990746,3.99394084828
0,0,0,1,0,normal,0.209384918213,0.0179448650183,0.000703664099297,3.99993990746,3.99394084828
0,0,0,1,0,outliers,14.1752929688,0.0348644839673,0.0626524326062,3.99993990746,3.99394084828
0,0,0,1,1,uniform,0.0624195337296,0.0140471065426,0.000379275295509,3.99993990746,3.99394084828
0,0,0,1,1,normal,0.290615081787,0.024015830566,0.00142303722403,3.99993990746,3.99394084828
0,0,0,1,1,outliers,15.1831512451,0.0466828327,0.128710390526,3.99993990746,3.99394084828
0,0,1,0,0,uniform,0.0312486886978,0.0104884350267,0.000188317408751,3.86567164179,3.86009161014
0,0,1,0,0,normal,0.209384918213,0.0179448645904,0.000703664099291,3.86567164179,3.86009161014
0,0,1,0,0,outliers,14.1752929688,0.0348602358058,0.0626524289921,3.86567164179,3.86009161014
0,0,1,0,1,uniform,0.0624195337296,0.0140471065426,0.000379275295509,3.86567164179,3.86009161014
0,0,1,0,1,normal,0.290615081787,0.0240158301075,0.00142303722402,3.86567164179,3.86009161014
0,0,1,0,1,outliers,15.1831512451,0.046677273901,0.128710383528,3.86567164179,3.86009161014
0,0,1,1,0,uniform,0.0312486886978,0.0104884350267,0.000188317408751,3.99993990746,3.99394084828
0,0,1,1,0,normal,0.209384918213,0.0179448650183,0.000703664099297,3.99993990746,3.99394084828
0,0,1,1,0,outliers,14.1752929688,0.0348644839673,0.0626524326062,3.99993990746,3.99394084828
