case,variant,format,n,input_dtype,n_mean,n_std,input_dtype_mean,input_dtype_std,format_mean,format_std,mode_mean,mode_std,round_mean,round_std,out_mean,out_std,scale_ms_mean,scale_ms_std,encode_ms_mean,encode_ms_std,quant_ms_mean,quant_ms_std,dequant_ms_mean,dequant_ms_std,h2d_ms_mean,h2d_ms_std,d2h_ms_mean,d2h_ms_std,process_ms_mean,process_ms_std,cpu_quant_ms_mean,cpu_quant_ms_std,cpu_dequant_ms_mean,cpu_dequant_ms_std,e2e_ms_mean,e2e_ms_std,cpu_e2e_ms_mean,cpu_e2e_ms_std,max_abs_mean,max_abs_std,mae_mean,mae_std,mse_mean,mse_std,payload_ratio_mean,payload_ratio_std,file_ratio_mean,file_ratio_std,dequant_GBs_mean,dequant_GBs_std,kernel_speedup_mean,kernel_speedup_std,process_speedup_mean,process_speedup_std,e2e_speedup
32x32_fp32_normal_e5m2_optimized,optimized,1,1024,0,1024.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01249279975892,0.002650558170698881,0.00716800009832,0.0,0.01966080032292,0.0026505581706988803,0.004710400011392,0.0019961434528899297,0.00605440000072,0.0007210303255068326,0.02697600014508,0.0023596612278034097,0.1362938,0.038086326748585246,0.0958564,0.0009756425062490865,0.0136846,0.003529052323216532,0.4354254,0.06190836527723857,0.3402806,0.03371746200116492,0.244701623917,0.0,0.0363083839823,0.0,0.0028006965066,0.0,3.87878787879,0.0,3.54794520548,0.0,0.7325520775252,0.22593602402489385,4.514827025952,0.2939706362506345,0.8444682340256,0.1830202850283114,0.7814900095400956
32x32_fp32_normal_nvfp4_baseline,baseline,2,1024,0,1024.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01576959975064,0.0005608680887259291,0.02641919963066,0.00045794687684091166,0.04218879938124,0.00045794687684091014,0.011084799841040001,0.0018890304504172424,0.00560000007972,0.00025196826334728244,0.02728320024906,0.0006438285953005939,0.1396236,0.005667413281206872,0.0590932,0.002768830926582553,0.0151716,0.000966536496982913,0.4062256,0.04146282536562118,0.2743696,0.016646348347310273,0.478256940842,0.0,0.0716618026438,0.0,0.00916580674224,0.0,7.06206896552,0.0,6.02325581395,0.0,0.24165100015879998,0.03351783459857138,1.393485468488,0.025427532346470934,0.5318987529486,0.015542051746881266,0.6754118893540928
32x32_fp32_normal_nvfp4_optimized,optimized,2,1024,0,1024.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01228800024836,0.000724077259789363,0.009420800209044,0.0004579464603151119,0.02170879989864,0.00045794687684091014,0.007232000119989999,0.0022582116544968994,0.005728000123056,0.00029153389655847147,0.027993599697940002,0.00047754014422991895,0.1162334,0.006307583673642382,0.0602134,0.004172598327181759,0.0149498,0.0009806509062862286,0.3879324,0.039752337784085115,0.276449,0.013013395175741033,0.478256940842,0.0,0.0716618026438,0.0,0.00916580674224,0.0,7.06206896552,0.0,6.02325581395,0.0,0.3846144303258,0.08507746714460519,2.598155626338,0.022819930939441197,0.6463242009828,0.011718332385779186,0.7126215804609256
512x512_fp16_normal_e4m3_baseline,baseline,0,262144,1,262144.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12076160013662,0.04530271492959872,0.2469888001682,0.0004579435447865735,0.3677504003048,0.045490926046288946,0.041830399632479996,0.0018044429391159901,0.0473407998681,0.00640857832061544,0.11082240045040001,0.0024258231457784615,0.8194098,0.051701835496430884,23.307954,0.028613052310090214,2.7363138,0.03787520835190211,3.7361373999999996,1.2577865290115011,28.0152026,0.0860403822765802,0.24609375,0.0,0.0179842804871,0.0,0.000708245450134,0.0,1.93939393939,0.0,1.93876826599,0.0,19.02310314452,0.7758726465624208,64.26223691039999,7.4874985296444265,31.88256694586,1.9524835365408288,7.49844012696107
512x512_fp16_normal_e4m3_optimized,optimized,0,262144,1,262144.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12110719978808,0.046094038764006466,0.06392319947482,0.0005400326419978679,0.185030400753,0.04602182883370195,0.01308160014448,0.0023884946718536987,0.0477568000555,0.009208736423642342,0.1098432019352,0.002223321067482558,0.5779858,0.07955948261960984,23.2614896,0.0467463073012181,2.7394504,0.050463283506922155,3.1817734,0.5315577889292,28.519174,0.6089162056978766,0.24609375,0.0,0.0179842804871,0.0,0.000708245450134,0.0,1.93939393939,0.0,1.93876826599,0.0,62.10612681984,9.364507497697263,138.1103893232,36.01048240721487,45.65512318972,6.122510056849834,8.96329512340508
512x512_fp16_normal_e5m2_baseline,baseline,1,262144,1,262144.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12077439874408,0.04794364920750888,0.27276158928899996,0.0005201375855800044,0.3935360074044,0.048290721819715075,0.041407999396339996,0.0020925166834551623,0.0450624011457,0.003798265860375415,0.112224000692,0.0032963113175139085,0.8294148,0.054904855980140804,26.6513686,0.07763773487679805,2.7705844,0.06334883146357162,3.2076878,0.4881103600101107,32.0828468,0.7501203548642706,0.47265625,0.0,0.0358455109529,0.0,0.00279578402266,0.0,1.93939393939,0.0,1.93876826599,0.0,19.22720677592,0.9179270956845166,68.37209450012,8.053086416764563,35.59583693594,2.328235647520913,10.001860779593326
512x512_fp16_normal_e5m2_optimized,optimized,1,262144,1,262144.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13827199935904,0.03697537907459184,0.06389759927988,0.0005608680887807003,0.202169597149,0.037256167891548314,0.0131072003394,0.0018317866742941567,0.0476160004735,0.0070892460442756045,0.10771199911820001,0.004949409122587891,0.6143462000000001,0.06030859541723717,26.6005874,0.07550042493787684,2.7701860000000003,0.04980647454397869,2.729697,0.1957831228694138,31.450612200000002,0.16152703805307647,0.47265625,0.0,0.0358455109529,0.0,0.00279578402266,0.0,1.93939393939,0.0,1.93876826599,0.0,61.433331528020005,7.229952049568907,140.940591426,32.23174467643986,48.18096842216,4.780365009887125,11.521649545718812
512x512_fp16_normal_nvfp4_baseline,baseline,2,262144,1,262144.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3024191975592,0.04689202281178745,0.20266239643099998,0.0001226867062150635,0.5050815999506,0.0468165473009611,0.05734400078654,0.0017736206273659414,0.04831999987364,0.004596540551468672,0.1022656008601,0.0021130178513089834,0.9236527999999999,0.03678052257241598,17.4633522,0.032530779896892174,3.9828156,0.047952352828615305,3.1398796,0.6933586083739782,23.509367,0.4974871606468858,0.642578125,0.0,0.0716061263577,0.0,0.00909775914627,0.0,3.55545910755,0.0,3.55318226174,0.0,11.72301924356,0.35018216564042437,38.34552126698,3.278981179942487,23.2488148598,0.9429382137887463,7.4873466485785
512x512_fp16_normal_nvfp4_optimized,optimized,2,262144,1,262144.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2321280002596,0.00222716181783567,0.06335999816656,0.0006254338652102413,0.295487999916,0.002587656739201805,0.025190400704760002,0.001996143345402802,0.0557887993753,0.006793411960449165,0.1132223993538,0.008379520839081533,0.7378634000000001,0.030057630533693126,17.491472599999998,0.028707454385578063,3.9906686000000002,0.03473521205923459,2.7870456000000003,0.15314740131422405,23.498446,0.11981417084385343,0.642578125,0.0,0.0716061263577,0.0,0.00909775914627,0.0,3.55545910755,0.0,3.55318226174,0.0,26.79022086626,1.9483283486371106,66.99233480286,0.47878817497253484,29.15165877478,1.1566952508143467,8.431310201741944
512x512_fp16_outliers_e4m3_baseline,baseline,0,262144,1,262144.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10323840230718,0.04483573264862766,0.2527295947076,0.00046832917845685766,0.3559679985046,0.044499253121180186,0.04236799925568,0.0021303453502252586,0.04787200018764,0.007353004849238911,0.113382397592,0.0029517635604174564,0.7874334,0.07142431958583856,23.2958912,0.029128784264023693,2.7247052000000003,0.04431518779944407,3.0299066,0.4845239152289595,27.9927104,0.05651072141461272,14.5,0.0,0.0356050466323,0.0,0.0670842641107,0.0,1.93939393939,0.0,1.93876826599,0.0,18.7911969952,0.8929685358697027,65.99688741295999,7.292212839039545,33.2520525661,2.8636060543208304,9.238803070695315
