iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,0,2,0,0,1,baseline,0.209120005369,0.184320002794,0.393440008163,0.0593920014799,0.0809599980712,0.102527998388,0.857047,15.344649,4.021923,3.257601,21.231013,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,11.3104118949,42.7676745185,22.5968610823
1,262144,0,2,0,0,1,baseline,0.29542401433,0.18534399569,0.480767995119,0.0552960000932,0.0758719965816,0.102495998144,0.848125,15.325739,3.930403,2.734465,21.192546,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,12.1482204656,35.9213492642,22.7043678703
2,262144,0,2,0,0,1,baseline,0.295392006636,0.18534399569,0.480735987425,0.0542719997466,0.0862400010228,0.0995519980788,0.867321,15.319887,3.927215,2.953922,21.36851,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,12.3774322512,35.9753545022,22.1914400781
3,262144,0,2,0,0,1,baseline,0.213663995266,0.184320002794,0.39798399806,0.0552960000932,0.0812160000205,0.0983040034771,0.77898,15.314514,3.914887,2.713416,21.118987,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,12.1482204656,42.4227874125,24.6853590593
4,262144,0,2,0,0,1,baseline,0.295455992222,0.18534399569,0.480800002813,0.0552960000932,0.0972480028868,0.0917439982295,0.908959,15.39927,3.938533,3.313403,21.244883,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,12.1482204656,36.0715299035,21.2746702547
