iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,1,0,0,0,1,baseline,0.15136000514,0.246784001589,0.398144006729,0.0450560003519,0.0539520010352,0.113600000739,0.884237,23.342874,2.802221,4.599587,28.018245,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,17.6363634986,58.9916394004,29.5679721613
1,262144,1,0,0,0,1,baseline,0.0733439996839,0.246784001589,0.320127993822,0.0411200001836,0.0418879985809,0.111968003213,0.767006,23.289127,2.712815,5.521627,28.117771,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,19.3245135324,71.9780938066,33.9005718339
2,262144,1,0,0,0,1,baseline,0.153727993369,0.247807994485,0.401535987854,0.0409599989653,0.0441600009799,0.107104003429,0.854825,23.333733,2.710655,3.045279,27.886001,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,19.4000004901,58.8579078134,30.4675085544
3,262144,1,0,0,0,1,baseline,0.156320005655,0.246784001589,0.403104007244,0.0409599989653,0.0420800000429,0.110143996775,0.821424,23.27808,2.723274,2.745609,28.059486,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,19.4000004901,58.5531671931,31.6539984223
4,262144,1,0,0,0,1,baseline,0.0690559968352,0.246784001589,0.315840005875,0.0410559996963,0.0546239987016,0.111295998096,0.769557,23.295956,2.732604,2.768585,27.99451,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,19.3546377114,72.9303763385,33.8227837574
