iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,1,1,0,0,1,optimized,0.154944002628,0.0604160018265,0.21536000073,0.0174080003053,0.0606720000505,0.110207997262,0.666956,26.636885,2.834169,2.92332,31.423313,0.0625,0.0208452288189,0.000744623303501,1.93939393939,1.93876826599,45.647058023,126.61127762,44.1874036668
1,262144,1,1,0,0,1,optimized,0.1540800035,0.0614399984479,0.215519994497,0.011264000088,0.0558720007539,0.111712001264,0.654958,26.623933,2.71893,3.773914,31.264668,0.0625,0.0208452288189,0.000744623303501,1.93939393939,1.93876826599,70.5454539945,129.38683373,44.8011368668
2,262144,1,1,0,0,1,optimized,0.239776000381,0.0614399984479,0.301216006279,0.0122880004346,0.0582079999149,0.105024002492,0.801056,30.860536,2.745484,2.791614,31.39319,0.0625,0.0208452288189,0.000744623303501,1.93939393939,1.93876826599,64.6666643794,107.194866031,41.9521481644
3,262144,1,1,0,0,1,optimized,0.155808001757,0.0604160018265,0.216223999858,0.0122880004346,0.0544960014522,0.113952003419,0.66726,26.640936,2.762874,2.587419,31.591618,0.0625,0.0208452288189,0.000744623303501,1.93939393939,1.93876826599,64.6666643794,128.675124118,44.0664958187
4,262144,1,1,0,0,1,optimized,0.15443199873,0.0604160018265,0.214847996831,0.0122880004346,0.0546239987016,0.101152002811,0.666945,26.688253,2.753702,2.586953,31.324108,0.0625,0.0208452288189,0.000744623303501,1.93939393939,1.93876826599,64.6666643794,129.622584506,44.1445021703
