iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,4194304,0,2,0,0,1,optimized,1.61641597748,0.678911983967,2.29532790184,0.293888002634,1.13222396374,0.797215998173,7.275098,249.504086,68.241972,40.42833,347.55424,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,36.5714418543,122.719027583,43.6758457412
1,4194304,0,2,0,0,1,optimized,1.61788797379,0.679935991764,2.29782390594,0.28876799345,1.11187195778,0.778367996216,5.636267,249.941065,66.691715,45.897036,352.808257,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,37.2198728522,122.413118233,56.1777467249
2,4194304,0,2,0,0,1,optimized,1.61852800846,0.679935991764,2.29846405983,0.28876799345,1.11712002754,0.7779520154,5.650872,251.915579,66.615042,50.334247,349.201147,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,37.2198728522,123.116370871,56.3684013724
3,4194304,0,2,0,0,1,optimized,1.62179195881,0.678911983967,2.30070400238,0.28876799345,1.11206400394,0.786271989346,5.653047,249.558758,66.82354,37.311402,351.135598,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,37.2198728522,122.180235395,55.9666845154
4,4194304,0,2,0,0,1,optimized,1.61375999451,0.679935991764,2.29369592667,0.28876799345,1.13740801811,0.771071970463,5.672486,249.149762,67.189765,40.602422,350.158944,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,37.2198728522,122.495235862,55.7673526211
