iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,1,0,0,0,1,optimized,0.154239997268,0.0636160001159,0.217856004834,0.0172799993306,0.0636800006032,0.112672001123,0.688794,23.316284,2.828862,2.787106,28.07034,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,45.9851869665,111.19158928,37.9578596794
1,262144,1,0,0,0,1,optimized,0.156256005168,0.0634879991412,0.219743996859,0.0122880004346,0.0414719991386,0.109792001545,0.58283,23.25979,2.711661,2.551917,28.116401,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,64.6666643794,111.930472103,44.5609371515
2,262144,1,0,0,0,1,optimized,0.0705280005932,0.0634879991412,0.134016007185,0.0122880004346,0.0420800000429,0.111040003598,0.512243,23.281235,2.716533,3.686141,29.10289,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,64.6666643794,177.69689582,50.752802869
3,262144,1,0,0,0,1,optimized,0.153791993856,0.0645119994879,0.218303993344,0.0122880004346,0.0475200004876,0.106752000749,0.614061,23.188376,2.711576,3.748499,29.262558,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,64.6666643794,112.319389652,42.178141911
4,262144,1,0,0,0,1,optimized,0.0707200020552,0.0645119994879,0.135232001543,0.011264000088,0.0440320000052,0.108960002661,0.492001,23.261763,2.72862,3.135204,28.043681,0.24609375,0.0179842804871,0.000708245450134,1.93939393939,1.93876826599,70.5454539945,177.413599761,52.8258743377
