iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,0,0,0,0,1,baseline,0.0440960004926,0.234495997429,0.278591990471,0.0450560003519,0.112736001611,0.10755199939,0.806159,21.089833,2.878861,3.306845,25.906185,14.5550842285,0.0356049118666,0.0670513704466,3.87878787879,3.87735904869,17.6363634986,74.057910692,29.7319685075
1,262144,0,0,0,0,1,baseline,0.0437120012939,0.234495997429,0.278207987547,0.0409599989653,0.0762879997492,0.101311996579,0.617519,20.905311,2.678124,3.029058,25.653968,14.5550842285,0.0356049118666,0.0670513704466,3.87878787879,3.87735904869,19.4000004901,73.8903524057,38.1906224748
2,262144,0,0,0,0,1,baseline,0.0437440015376,0.234495997429,0.278239995241,0.0409599989653,0.0753920003772,0.110431998968,0.606225,20.899351,2.693747,2.884284,25.738118,14.5550842285,0.0356049118666,0.0670513704466,3.87878787879,3.87735904869,19.4000004901,73.9132156273,38.9180551775
3,262144,0,0,0,0,1,baseline,0.134975999594,0.234495997429,0.369471997023,0.0409599989653,0.0917759984732,0.11097600311,0.76169,20.883042,2.677826,3.062657,25.777664,14.5550842285,0.0356049118666,0.0670513704466,3.87878787879,3.87735904869,19.4000004901,57.4050469513,30.9323583085
4,262144,0,0,0,0,1,baseline,0.0433919988573,0.234495997429,0.277888000011,0.0409599989653,0.0764800012112,0.109279997647,0.611614,20.883319,2.676956,2.796094,25.744384,14.5550842285,0.0356049118666,0.0670513704466,3.87878787879,3.87735904869,19.4000004901,73.8918703445,38.5214775986
