iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,1024,0,2,0,0,1,optimized,0.0122880004346,0.00921600032598,0.0215039998293,0.011264000088,0.00550400000066,0.0280959997326,0.127016,0.067568,0.01666,0.458726,0.29725,0.478256940842,0.0716618026438,0.00916580674224,7.06206896552,6.02325581395,0.233309657269,2.5704345768,0.663129054607
1,1024,0,2,0,0,1,optimized,0.01331199985,0.00921600032598,0.022528000176,0.00614400021732,0.00534400017932,0.028287999332,0.11644,0.059528,0.014896,0.376583,0.28109,0.478256940842,0.0716618026438,0.00916580674224,7.06206896552,6.02325581395,0.427734359871,2.5957030894,0.639161800069
2,1024,0,2,0,0,1,optimized,0.011264000088,0.0102399997413,0.0215039998293,0.00614400021732,0.00601600017399,0.0271680001169,0.112027,0.058337,0.01445,0.369428,0.270152,0.478256940842,0.0716618026438,0.00916580674224,7.06206896552,6.02325581395,0.427734359871,2.63263165065,0.649727297884
3,1024,0,2,0,0,1,optimized,0.0122880004346,0.00921600032598,0.0215039998293,0.00646399985999,0.00582400010899,0.0280639994889,0.111808,0.058012,0.014385,0.367509,0.267234,0.478256940842,0.0716618026438,0.00916580674224,7.06206896552,6.02325581395,0.406559414747,2.58856553219,0.647511805953
4,1024,0,2,0,0,1,optimized,0.0122880004346,0.00921600032598,0.0215039998293,0.00614400021732,0.00595200015232,0.0283519998193,0.113876,0.057622,0.014358,0.367416,0.266519,0.478256940842,0.0716618026438,0.00916580674224,7.06206896552,6.02325581395,0.427734359871,2.60344328265,0.632091046401
