iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,1,2,0,0,1,baseline,0.250624001026,0.202751994133,0.453375995159,0.0624639987946,0.0653759986162,0.102687999606,0.994695,16.957786,3.927319,3.263095,22.91049,12.25,0.17863161224,0.193844852296,3.55545910755,3.55318226174,10.7541626051,40.4875644479,20.9964913868
1,262144,1,2,0,0,1,baseline,0.342368006706,0.20377600193,0.546144008636,0.0573440007865,0.0675200000405,0.101952001452,1.045173,16.91212,3.820583,3.044893,22.509355,12.25,0.17863161224,0.193844852296,3.55545910755,3.55318226174,11.7143553081,34.3547886226,19.8366232193
2,262144,1,2,0,0,1,baseline,0.334688007832,0.20377600193,0.538464009762,0.0573440007865,0.0566399991512,0.102816000581,1.007368,16.992588,3.826377,3.500681,22.581969,12.25,0.17863161224,0.193844852296,3.55545910755,3.55318226174,11.7143553081,34.9424053242,20.6666928074
3,262144,1,2,0,0,1,baseline,0.340063989162,0.202751994133,0.542815983295,0.0573440007865,0.0601920001209,0.10307200253,1.01325,16.925175,3.82516,2.806272,22.662249,12.25,0.17863161224,0.193844852296,3.55545910755,3.55318226174,11.7143553081,34.5746726712,20.4789884037
4,262144,1,2,0,0,1,baseline,0.334847986698,0.20377600193,0.538623988628,0.0573440007865,0.0680639967322,0.105311997235,1.074297,16.987843,3.831163,2.927806,22.705971,12.25,0.17863161224,0.193844852296,3.55545910755,3.55318226174,11.7143553081,34.9330943436,19.3791902984
