iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,0,0,0,0,1,optimized,0.0389439985156,0.0460800006986,0.0850239992142,0.0143360001966,0.109439998865,0.105343997478,0.583938,20.995942,2.852137,3.135571,25.838028,0.246229171753,0.0179840370042,0.000708150117402,3.87878787879,3.87735904869,55.4285706683,240.016899571,40.840087475
1,262144,0,0,0,0,1,optimized,0.0402880012989,0.0457599982619,0.0860479995608,0.0103040002286,0.0777600035071,0.108511999249,0.399264,20.965937,2.705558,2.712506,25.753376,0.246229171753,0.0179840370042,0.000708150117402,3.87878787879,3.87735904869,77.1180107111,245.677256847,59.2878271019
2,262144,0,0,0,0,1,optimized,0.116672001779,0.0460800006986,0.162752002478,0.0102399997413,0.0845440030098,0.103455998003,0.497065,20.912558,2.729148,2.848855,25.773141,0.246229171753,0.0179840370042,0.000708150117402,3.87878787879,3.87735904869,77.6000019603,136.663578066,47.5626044883
3,262144,0,0,0,0,1,optimized,0.121344000101,0.0460800006986,0.167423993349,0.0102399997413,0.0837439969182,0.100479997694,0.509052,20.958628,2.718264,3.417602,25.730949,0.246229171753,0.0179840370042,0.000708150117402,3.87878787879,3.87735904869,77.6000019603,133.267814081,46.5117355398
4,262144,0,0,0,0,1,optimized,0.0403520017862,0.0460800006986,0.0864320024848,0.0102399997413,0.0826879963279,0.108159996569,0.394232,20.925516,2.720721,2.66734,26.973597,0.246229171753,0.0179840370042,0.000708150117402,3.87878787879,3.87735904869,77.6000019603,244.602743871,59.9805114755
