iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,1024,1,0,0,0,1,optimized,0.011264000088,0.00819199997932,0.019455999136,0.00819199997932,0.00556800002232,0.0233600009233,0.115251,0.097081,0.010956,0.463229,0.324237,0.123046875,0.0177534706891,0.000684176015092,1.93939393939,1.79452054795,0.378906250957,3.90758837735,0.937406183027
1,1024,1,0,0,0,1,optimized,0.0122880004346,0.00716800009832,0.019455999136,0.00409599998966,0.00588800013065,0.0253439992666,0.114189,0.090705,0.010681,0.377092,0.295604,0.123046875,0.0177534706891,0.000684176015092,1.93939393939,1.79452054795,0.757812501913,4.30477257829,0.887878867492
2,1024,1,0,0,0,1,optimized,0.0122880004346,0.00716800009832,0.019455999136,0.00409599998966,0.00531199993566,0.0240000002086,0.10361,0.089973,0.010598,0.360595,0.296334,0.123046875,0.0177534706891,0.000684176015092,1.93939393939,1.79452054795,0.757812501913,4.27016829712,0.970668854358
3,1024,1,0,0,0,1,optimized,0.011264000088,0.00819199997932,0.019455999136,0.00307200010866,0.00576000008732,0.023967999965,0.102001,0.090605,0.010717,0.359741,0.292788,0.123046875,0.0177534706891,0.000684176015092,1.93939393939,1.79452054795,1.01041663093,4.49760313376,0.993343202518
4,1024,1,0,0,0,1,optimized,0.0122880004346,0.00716800009832,0.019455999136,0.00409599998966,0.00511999987066,0.0238080006093,0.100946,0.08987,0.010668,0.429434,0.299675,0.123046875,0.0177534706891,0.000684176015092,1.93939393939,1.79452054795,0.757812501913,4.26876714217,0.995958235096
