iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,0,2,0,0,1,optimized,0.117087997496,0.0491520017385,0.166240006685,0.0276480000466,0.106367997825,0.10175999999,0.638077,15.346072,4.048289,2.897563,21.523033,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,24.2964409313,100.028678034,30.3950165889
1,262144,0,2,0,0,1,optimized,0.112704001367,0.0491520017385,0.161855995655,0.0235520005226,0.0760639980435,0.0981760025024,0.466856,15.365036,3.919868,2.652916,21.281739,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,28.5219083345,104.013334902,41.3080350258
2,262144,0,2,0,0,1,optimized,0.190367996693,0.0501759983599,0.240544006228,0.0235520005226,0.0753279998899,0.0989120006561,0.584308,15.39599,3.916484,2.891655,21.295233,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,28.5219083345,73.1267172025,33.0518733271
3,262144,0,2,0,0,1,optimized,0.192064002156,0.0499840006232,0.242047995329,0.0235520005226,0.0986239984632,0.105152003467,0.647001,15.388584,3.928286,2.513227,21.569255,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,28.5219083345,72.7291803528,29.8560125873
4,262144,0,2,0,0,1,optimized,0.194655999541,0.0501759983599,0.244831994176,0.0235520005226,0.0782719999552,0.0996799990535,0.568404,15.312704,3.920807,2.502918,21.206748,0.166815936565,0.0443113720592,0.00344930974229,7.11091821511,7.1060392497,28.5219083345,71.6641505452,33.8377474472
