iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,1,1,0,0,1,optimized,0.151904001832,0.0634879991412,0.215391993523,0.0163839999586,0.0598080009222,0.112768001854,0.690216,26.667218,2.858921,3.034518,31.59643,0.47265625,0.0358455109529,0.00279578402266,1.93939393939,1.93876826599,48.5000001225,127.390842151,42.7781143874
1,262144,1,1,0,0,1,optimized,0.156095996499,0.0645119994879,0.220607995987,0.0122880004346,0.0469760000706,0.111359998584,0.652922,26.592126,2.749731,2.817753,31.618997,0.47265625,0.0358455109529,0.00279578402266,1.93939393939,1.93876826599,64.6666643794,125.986953193,44.9392990281
2,262144,1,1,0,0,1,optimized,0.15030400455,0.0634879991412,0.213791996241,0.0122880004346,0.0430720001459,0.10377600044,0.604452,26.57671,2.740292,2.574173,31.466368,0.47265625,0.0358455109529,0.00279578402266,1.93939393939,1.93876826599,64.6666643794,129.675346918,48.5017867424
3,262144,1,1,0,0,1,optimized,0.0725120007992,0.0634879991412,0.136000007391,0.0122880004346,0.0459519997239,0.101311996579,0.532568,26.675994,2.751132,2.623237,31.291252,0.47265625,0.0358455109529,0.00279578402266,1.93939393939,1.93876826599,64.6666643794,198.445757223,55.2551523937
4,262144,1,1,0,0,1,optimized,0.160543993115,0.0645119994879,0.225055992603,0.0122880004346,0.0422720015049,0.109343998134,0.591573,26.490889,2.750854,2.598804,31.280014,0.47265625,0.0358455109529,0.00279578402266,1.93939393939,1.93876826599,64.6666643794,123.204057645,49.4304895592
