iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,1024,0,1,0,0,1,baseline,0.011264000088,0.0215039998293,0.0327679999173,0.0102399997413,0.00547200022265,0.0238400008529,0.127316,0.096475,0.011143,0.460724,0.326323,0.244701623917,0.0363083839823,0.0028006965066,3.87878787879,3.54794520548,0.303125007658,2.5022786657,0.845282603915
1,1024,0,1,0,0,1,baseline,0.011264000088,0.0215039998293,0.0327679999173,0.00521600013599,0.00601600017399,0.026847999543,0.127371,0.099123,0.01092,0.402525,0.301878,0.244701623917,0.0363083839823,0.0028006965066,3.87878787879,3.54794520548,0.595092009025,2.89708824362,0.863956473609
2,1024,0,1,0,0,1,baseline,0.0102399997413,0.0215039998293,0.0317439995706,0.00614400021732,0.00559999980032,0.0261119995266,0.120695,0.094682,0.01085,0.386183,0.297792,0.244701623917,0.0363083839823,0.0028006965066,3.87878787879,3.54794520548,0.505208315464,2.78536741424,0.874369277932
3,1024,0,1,0,0,1,baseline,0.011264000088,0.0215039998293,0.0327679999173,0.00511999987066,0.00604799995199,0.0251199994236,0.119207,0.094359,0.011109,0.374351,0.29631,0.244701623917,0.0363083839823,0.0028006965066,3.87878787879,3.54794520548,0.606250015315,2.78367822504,0.884746701117
4,1024,0,1,0,0,1,baseline,0.0102399997413,0.022528000176,0.0327679999173,0.00511999987066,0.00563200004399,0.0257920008153,0.118162,0.093962,0.010881,0.374973,0.2967,0.244701623917,0.0363083839823,0.0028006965066,3.87878787879,3.54794520548,0.606250015315,2.76718223677,0.887281867267
