iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,1024,1,2,0,0,1,baseline,0.0174080003053,0.0276480000466,0.0450560003519,0.015359999612,0.00588800013065,0.0251199994236,0.147743,0.070404,0.016551,0.495319,0.321597,0.478515625,0.071614317596,0.00914450843997,3.53103448276,3.04651162791,0.171093754322,1.43927105489,0.588555802982
1,1024,1,2,0,0,1,baseline,0.018432000652,0.0276480000466,0.0460800006986,0.0102399997413,0.00515200011432,0.02508799918,0.140815,0.066609,0.015327,0.399068,0.275756,0.478515625,0.071614317596,0.00914450843997,3.53103448276,3.04651162791,0.256640631483,1.45482953409,0.581869829209
2,1024,1,2,0,0,1,baseline,0.0174080003053,0.0286720003933,0.0460800006986,0.0102399997413,0.00566399982199,0.0236799996346,0.137042,0.071412,0.014886,0.388059,0.272393,0.478515625,0.071614317596,0.00914450843997,3.53103448276,3.04651162791,0.256640631483,1.53227981758,0.62971935611
3,1024,1,2,0,0,1,baseline,0.0174080003053,0.0276480000466,0.0450560003519,0.0102399997413,0.00582400010899,0.0242560002953,0.140302,0.067002,0.015085,0.386901,0.27297,0.478515625,0.071614317596,0.00914450843997,3.53103448276,3.04651162791,0.256640631483,1.48450158893,0.585073626891
4,1024,1,2,0,0,1,baseline,0.0174080003053,0.0286720003933,0.0460800006986,0.0102399997413,0.00604799995199,0.0229439996183,0.135767,0.065533,0.01483,0.384506,0.271612,0.478515625,0.071614317596,0.00914450843997,3.53103448276,3.04651162791,0.256640631483,1.42689984681,0.591918507443
