iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,0,1,0,0,1,optimized,0.0439359992743,0.0511999987066,0.0951360017061,0.0163839999586,0.10271999985,0.104704000056,0.586342,24.366463,2.890277,3.326098,29.306923,31.2171020508,0.0709420176609,0.276416533873,3.87878787879,3.87735904869,48.5000001225,244.411223037,46.4860780909
1,262144,0,1,0,0,1,optimized,0.134719997644,0.0522239990532,0.186943992972,0.0122880004346,0.0770879983902,0.104383997619,0.500707,24.2786,2.720728,2.676287,29.336474,31.2171020508,0.0709420176609,0.276416533873,3.87878787879,3.87735904869,64.6666643794,135.517029862,53.9224097127
2,262144,0,1,0,0,1,optimized,0.12905600667,0.0531519986689,0.182208001614,0.0122880004346,0.0856000036001,0.105184003711,0.549223,24.263691,2.772309,2.785865,31.811568,31.2171020508,0.0709420176609,0.276416533873,3.87878787879,3.87735904869,64.6666643794,139.005427954,49.2259064169
3,262144,0,1,0,0,1,optimized,0.0502079986036,0.0522239990532,0.102431997657,0.0122880004346,0.0792960003018,0.104736000299,0.461144,24.711606,2.753802,2.865445,29.720789,31.2171020508,0.0709420176609,0.276416533873,3.87878787879,3.87735904869,64.6666643794,239.412556284,59.5592873376
4,262144,0,1,0,0,1,optimized,0.138656005263,0.0522239990532,0.190880000591,0.0123840002343,0.0924160033464,0.112063996494,0.572503,24.306231,2.733854,2.842568,29.234364,31.2171020508,0.0709420176609,0.276416533873,3.87878787879,3.87735904869,64.165373463,133.029384889,47.2313420192
