iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,0,1,0,0,1,optimized,0.0395199991763,0.0450560003519,0.0845760032535,0.015359999612,0.0824000015855,0.103583998978,0.53822,24.380672,2.885639,3.032651,29.350687,0.47176027298,0.0358456552394,0.00279578916797,3.87878787879,3.87735904869,51.7333346402,272.837718322,50.6601594144
1,262144,0,1,0,0,1,optimized,0.118688002229,0.0450560003519,0.163744002581,0.0102399997413,0.0811519995332,0.1024639979,0.48422,24.325269,2.740022,2.746045,29.756613,0.47176027298,0.0358456552394,0.00279578916797,3.87878787879,3.87735904869,77.6000019603,155.561951897,55.8946160836
2,262144,0,1,0,0,1,optimized,0.121887996793,0.0460800006986,0.167968004942,0.010271999985,0.0860479995608,0.104096002877,0.541103,24.282886,2.727312,3.003393,29.28287,0.47176027298,0.0358456552394,0.00279578916797,3.87878787879,3.87735904869,77.3582555648,151.538359815,49.9169252434
3,262144,0,1,0,0,1,optimized,0.0442560017109,0.0450560003519,0.0893120020628,0.011264000088,0.0840959995985,0.100064001977,0.431598,24.302941,2.734807,2.875721,29.265177,0.47176027298,0.0358456552394,0.00279578916797,3.87878787879,3.87735904869,70.5454539945,268.829019068,62.6456749104
4,262144,0,1,0,0,1,optimized,0.117600001395,0.0460800006986,0.163680002093,0.0102399997413,0.0803520008922,0.102144002914,0.487449,24.304952,2.774821,2.801616,29.14004,0.47176027298,0.0358456552394,0.00279578916797,3.87878787879,3.87735904869,77.6000019603,155.702465009,55.5540641175
