iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,1,0,0,0,1,baseline,0.150240004063,0.252831995487,0.40307199955,0.0460800006986,0.0605119988322,0.110239997506,0.891675,23.305651,2.802842,3.01591,28.021579,14.5,0.0356050466323,0.0670842641107,1.93939393939,1.93876826599,17.244444183,58.1284130663,29.2802792497
1,262144,1,0,0,0,1,baseline,0.0731519982219,0.253055989742,0.326207995415,0.0418559983373,0.0434879995883,0.115999996662,0.746332,23.308786,2.715976,2.703994,27.896147,14.5,0.0356050466323,0.0670842641107,1.93939393939,1.93876826599,18.9847102343,70.7071662585,34.8702212956
2,262144,1,0,0,0,1,baseline,0.0728000029922,0.252927988768,0.32572799921,0.0409599989653,0.0471040010452,0.11615999788,0.750304,23.258831,2.70068,3.870398,28.032154,14.5,0.0356050466323,0.0670842641107,1.93939393939,1.93876826599,19.4000004901,70.7945477604,34.5986573442
3,262144,1,0,0,0,1,baseline,0.154208004475,0.251904010773,0.406111985445,0.0419839993119,0.0462080016732,0.114239998162,0.829805,23.274326,2.696235,2.758148,28.025017,14.5,0.0356050466323,0.0670842641107,1.93939393939,1.93876826599,18.9268295785,57.9575847217,31.2971854833
4,262144,1,0,0,0,1,baseline,0.0657920017838,0.252927988768,0.318720012903,0.0409599989653,0.0420479997993,0.11027199775,0.719051,23.331862,2.707793,2.801083,27.988655,14.5,0.0356050466323,0.0670842641107,1.93939393939,1.93876826599,19.4000004901,72.3967252579,36.2139194577
