iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,4194304,1,2,0,0,1,optimized,2.11523199081,0.85504001379,2.97027206421,0.293888002634,0.61360001564,0.811839997768,7.616393,279.764361,68.185655,39.183291,378.001879,0.646484375,0.0715041533434,0.00906299614809,3.5555495274,3.55540711907,36.5714418543,106.597105802,45.6843568865
1,4194304,1,2,0,0,1,optimized,2.12287998199,1.19500803947,3.31788802147,0.28876799345,0.620447993279,0.784319996834,7.954115,280.601611,68.348368,35.1846,377.065692,0.646484375,0.0715041533434,0.00906299614809,3.5555495274,3.55540711907,37.2198728522,96.7516662406,43.8703713738
2,4194304,1,2,0,0,1,optimized,2.12012791634,0.856064021587,2.97619199753,0.289792001247,0.610303997993,0.78313601017,7.619877,280.067603,68.241362,39.457015,381.219543,0.646484375,0.0715041533434,0.00906299614809,3.5555495274,3.55540711907,37.088352866,106.647480554,45.7105757744
3,4194304,1,2,0,0,1,optimized,2.12140798569,0.855199992657,2.97660803795,0.289631992579,0.601279973984,0.786176025867,7.577948,279.313825,68.103691,45.250442,374.671459,0.646484375,0.0715041533434,0.00906299614809,3.5555495274,3.55540711907,37.1088425153,106.36619255,45.8458564245
4,4194304,1,2,0,0,1,optimized,2.11644792557,0.856064021587,2.97251200676,0.28876799345,0.588256001472,0.782559990883,7.608561,280.418204,68.878594,35.541418,380.921436,0.646484375,0.0715041533434,0.00906299614809,3.5555495274,3.55540711907,37.2198728522,107.104203864,45.9083916131
