iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,1,0,0,0,1,optimized,0.14556799829,0.0614399984479,0.207008004189,0.0163839999586,0.0586879998446,0.10886400193,0.692025,23.33414,2.859526,2.798248,28.072572,0.03125,0.0104296615714,0.000186446452787,1.93939393939,1.93876826599,48.5000001225,117.254268343,37.8507510567
1,262144,1,0,0,0,1,optimized,0.0654719993472,0.0604479983449,0.125919997692,0.012256000191,0.0414079986513,0.112896002829,0.487346,23.292678,2.712027,2.671483,27.930869,0.03125,0.0104296615714,0.000186446452787,1.93939393939,1.93876826599,64.8355081281,188.199871167,53.3598408523
2,262144,1,0,0,0,1,optimized,0.15171200037,0.0614399984479,0.213152006269,0.0122880004346,0.0503679998219,0.109375998378,0.635407,23.25821,2.722341,2.523153,28.147787,0.03125,0.0104296615714,0.000186446452787,1.93939393939,1.93876826599,64.6666643794,115.243746573,40.8880465591
3,262144,1,0,0,0,1,optimized,0.152575999498,0.0604160018265,0.2129919976,0.0122880004346,0.0529280006886,0.111167997122,0.651101,23.283617,2.739487,3.23601,29.677728,0.03125,0.0104296615714,0.000186446452787,1.93939393939,1.93876826599,64.6666643794,115.514489644,39.9678452345
4,262144,1,0,0,0,1,optimized,0.152191996574,0.0604160018265,0.212607994676,0.01331199985,0.0503679998219,0.112832002342,0.661753,23.337553,2.721492,2.636315,28.889999,0.03125,0.0104296615714,0.000186446452787,1.93939393939,1.93876826599,59.692308365,115.346342207,39.3788090118
