iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,4194304,0,1,0,0,1,baseline,0.598655998707,3.92192006111,4.52057600021,0.572416007519,1.14841604233,0.898880004883,10.657742,390.251578,45.637837,46.61048,467.229948,0.494898319244,0.035841911552,0.00279600470037,3.87878787879,3.87869854222,22.2110909426,85.5861180104,40.8988522147
1,4194304,0,1,0,0,1,baseline,0.606271982193,3.91987204552,4.52614402771,0.567296028137,1.12911999226,0.902592003345,8.449267,389.660004,43.940371,46.863566,467.106636,0.494898319244,0.035841911552,0.00279600470037,3.87878787879,3.87869854222,22.411551235,85.1291799345,51.3181054641
2,4194304,0,1,0,0,1,baseline,0.604480028152,3.9249920845,4.52947187424,0.56831997633,1.15433597565,0.899648010731,8.460921,390.115873,44.002928,43.981854,466.939596,0.494898319244,0.035841911552,0.00279600470037,3.87878787879,3.87869854222,22.3711721029,85.1582045178,51.3086933444
3,4194304,0,1,0,0,1,baseline,0.728320002556,4.68787193298,5.41619205475,0.56831997633,1.17062401772,0.905824005604,9.379337,390.9836,43.954836,46.498477,466.486747,0.494898319244,0.035841911552,0.00279600470037,3.87878787879,3.87869854222,22.3711721029,72.677343406,46.3719808767
4,4194304,0,1,0,0,1,baseline,0.601920008659,3.92089605331,4.52281618118,0.56831997633,1.12800002098,0.995136022568,8.531174,396.436867,43.899576,54.070859,467.412416,0.494898319244,0.035841911552,0.00279600470037,3.87878787879,3.87869854222,22.3711721029,86.4908007519,51.6149879255
