iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,4194304,1,0,0,0,1,optimized,0.919583976269,0.926720023155,1.84630405903,0.133120000362,0.621919989586,0.907199978828,6.952992,374.931851,45.033238,38.987243,446.730969,0.25,0.0179676673435,0.000705466963413,1.93939393939,1.93935481962,95.5076920477,212.165294752,60.4006288228
1,4194304,1,0,0,0,1,optimized,0.927583992481,0.925696015358,1.85327994823,0.128224000335,0.635104000568,0.924224019051,6.991757,374.289407,44.857429,37.561579,447.235027,0.25,0.0179676673435,0.000705466963413,1.93939393939,1.93935481962,99.1544794017,211.529649639,59.9487133206
2,4194304,1,0,0,0,1,optimized,0.929503977299,0.927743971348,1.85724794865,0.12800000608,0.611199975014,0.926880002022,7.005718,373.819695,45.113599,36.384296,447.311104,0.25,0.0179676673435,0.000705466963413,1.93939393939,1.93935481962,99.3279952822,211.023158595,59.7987663791
3,4194304,1,0,0,0,1,optimized,0.927488029003,0.926656007767,1.85414397717,0.12800000608,0.611967980862,0.919968008995,6.947992,373.330876,44.716552,36.578692,446.701986,0.25,0.0179676673435,0.000705466963413,1.93939393939,1.93935481962,99.3279952822,210.906690701,60.1680928821
4,4194304,1,0,0,0,1,optimized,0.924256026745,0.926720023155,1.8509759903,0.12800000608,0.617824018002,0.956991970539,7.042194,373.273919,44.862284,36.460715,445.805483,0.25,0.0179676673435,0.000705466963413,1.93939393939,1.93935481962,99.3279952822,211.289173677,59.3758426706
