iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,4194304,0,2,0,0,1,baseline,3.31040000916,2.66108798981,5.97148799896,0.761856019497,1.10559999943,0.782335996628,11.503438,249.272223,68.371999,41.72516,345.846995,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,14.107531771,47.1748095937,27.6129816147
1,4194304,0,2,0,0,1,baseline,3.68265604973,2.66035199165,6.34300804138,0.757759988308,1.16639995575,0.779872000217,10.192963,248.380231,67.052401,42.101191,347.426423,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,14.1837892814,44.4223259626,30.9461176304
2,4194304,0,2,0,0,1,baseline,3.31094408035,2.66035199165,5.97129583359,0.757759988308,1.10790395737,0.81132799387,9.807379,249.072624,67.153072,41.750998,345.670318,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,14.1837892814,46.9940663846,32.2436500109
3,4194304,0,2,0,0,1,baseline,3.62844800949,2.66035199165,6.28879976273,0.757759988308,1.13571202755,0.779615998268,10.127298,248.638983,66.932557,40.67977,347.057178,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,14.1837892814,44.7837740897,31.1604872297
4,4194304,0,2,0,0,1,baseline,3.31263995171,2.66240000725,5.97503995895,0.756735980511,1.12499201298,0.786112010479,9.807649,249.732173,66.972199,41.289745,347.686052,0.64587688446,0.0715033438412,0.00906308887685,7.1110990548,7.11079389406,14.2029826476,47.0461843721,32.2915687541
