iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,4194304,0,0,0,0,1,optimized,0.59782397747,0.750591993332,1.3484159708,0.132095992565,1.09833598137,0.89948797226,6.77678,336.672433,45.257726,40.414548,415.74069,0.248138904572,0.0179676193912,0.000705380363771,3.87878787879,3.87869854222,96.2480674327,257.971680371,56.35864806
1,4194304,0,0,0,0,1,optimized,0.606783986092,0.749567985535,1.35635197163,0.12800000608,1.11286401749,0.87446397543,4.765788,336.949155,43.58214,42.320807,416.672643,0.248138904572,0.0179676193912,0.000705380363771,3.87878787879,3.87869854222,99.3279952822,256.361901163,79.8464587598
2,4194304,0,0,0,0,1,optimized,0.601248025894,0.750591993332,1.35184001923,0.12800000608,1.12963199615,0.934112012386,4.862878,336.022737,43.123908,39.717016,411.942155,0.248138904572,0.0179676193912,0.000705380363771,3.87878787879,3.87869854222,99.3279952822,256.207859307,77.9675420605
3,4194304,0,0,0,0,1,optimized,0.597920000553,0.749567985535,1.34748804569,0.12800000608,1.18966400623,0.889151990414,4.872468,337.057633,43.955298,40.792604,413.437576,0.248138904572,0.0179676193912,0.000705380363771,3.87878787879,3.87869854222,99.3279952822,258.228408249,78.1971130441
4,4194304,0,0,0,0,1,optimized,0.603615999222,0.750591993332,1.35420799255,0.12800000608,1.1178560257,0.874816000462,4.810447,339.194246,43.394095,40.70337,415.440289,0.248138904572,0.0179676193912,0.000705380363771,3.87878787879,3.87869854222,99.3279952822,258.120548096,79.5328045398
