iteration,n,input_dtype,format,mode,round,out,variant,scale_ms,encode_ms,quant_ms,dequant_ms,h2d_ms,d2h_ms,process_ms,cpu_quant_ms,cpu_dequant_ms,e2e_ms,cpu_e2e_ms,max_abs,mae,mse,payload_ratio,file_ratio,dequant_GBs,kernel_speedup,process_speedup
0,262144,1,2,0,0,1,optimized,0.21641600132,0.0601279996336,0.276544004679,0.0286720003933,0.0636480003595,0.100607998669,0.738266,17.35864,3.585396,2.6445,24.217421,0.16650390625,0.0443191074905,0.00345024738825,3.55545910755,3.55318226174,23.4287106161,68.6203726278,28.3692273517
1,262144,1,2,0,0,1,optimized,0.223135992885,0.0593920014799,0.282528012991,0.0245760008693,0.0529920011759,0.102591998875,0.74305,18.15358,3.456253,2.584676,22.724662,0.16650390625,0.0443191074905,0.00345024738825,3.55545910755,3.55318226174,27.3334951269,70.3664948184,29.0826095148
2,262144,1,2,0,0,1,optimized,0.22291199863,0.0604160018265,0.283327996731,0.0235520005226,0.0524480007589,0.101024001837,0.736949,17.410504,3.443401,3.708168,22.751072,0.16650390625,0.0443191074905,0.00345024738825,3.55545910755,3.55318226174,28.5219083345,67.9545919794,28.2976230377
3,262144,1,2,0,0,1,optimized,0.308768004179,0.0604160018265,0.369183987379,0.0235520005226,0.0658880025148,0.103744000196,0.832242,17.37832,3.47899,2.57837,22.986038,0.16650390625,0.0443191074905,0.00345024738825,3.55545910755,3.55318226174,28.5219083345,53.1077126683,25.0615926617
4,262144,1,2,0,0,1,optimized,0.224831998348,0.0604160018265,0.285248011351,0.0245760008693,0.0570239983499,0.104736000299,0.748011,17.42289,3.51764,2.77445,22.59869,0.16650390625,0.0443191074905,0.00345024738825,3.55545910755,3.55318226174,27.3334951269,67.5884669169,27.9949492721
